species,site,year,visit,date,count
hl,AU10A,1992,1,7/08/1992,7
hl,AU10A,1992,2,11/08/1992,7
hl,AU10A,1992,3,28/08/1992,10
hl,AU10A,1992,4,9/11/1992,15
hl,AU10A,1992,5,12/11/1992,8
hl,AU10A,1992,6,27/11/1992,8
hl,AU10A,1993,1,4/03/1993,8
hl,AU10A,1993,2,9/03/1993,13
hl,AU10A,1993,3,22/03/1993,9
hl,AU10A,1993,4,7/06/1993,13
hl,AU10A,1993,5,23/06/1993,9
hl,AU10A,1994,1,3/03/1994,4
hl,AU10A,1994,2,6/03/1994,6
hl,AU10A,1994,3,10/03/1994,6
hl,AU10A,1994,4,7/04/1994,3
hl,AU10A,1994,5,9/04/1994,16
hl,AU10A,1994,6,13/04/1994,8
hl,AU10A,1994,7,12/11/1994,6
hl,AU10A,1994,8,16/11/1994,7
hl,AU10A,1994,9,17/11/1994,5
hl,AU10A,1997,1,10/12/1997,16
hl,AU10A,1997,2,11/12/1997,30
hl,AU10A,1997,3,NA,8
hl,AU10A,1998,1,11/02/1998,20
hl,AU10A,1998,2,29/10/1998,7
hl,AU10A,1998,3,NA,9
hl,AU10A,1999,1,,10
hl,AU10A,1999,2,NA,7
hl,AU10A,2000,1,,14
hl,AU10A,2000,2,NA,9
hl,AU10A,2000,3,NA,9
hl,AU10A,2003,1,12/06/2003,10
hl,AU10A,2003,2,NA,9
hl,AU10A,2004,1,30/01/2004,20
hl,AU10A,2004,2,14/05/2004,34
hl,AU10A,2004,3,10/07/2004,25
hl,AU10A,2004,4,9/10/2004,27
hl,AU10A,2004,5,10/10/2004,2
hl,AU10A,2004,6,11/10/2004,23
hl,AU10A,2005,1,7/02/2005,24
hl,AU10A,2005,2,14/05/2005,10
hl,AU10A,2005,3,12/11/2005,13
hl,AU10A,2005,4,14/11/2005,34
hl,AU10A,2005,5,15/11/2005,17
hl,AU10A,2006,1,27/04/2006,26
hl,AU10A,2006,2,28/04/2006,3
hl,AU10A,2007,1,27/03/2007,17
hl,AU10A,2007,2,17/06/2007,11
hl,AU10A,2007,3,27/10/2007,12
hl,AU10A,2007,4,28/10/2007,6
hl,AU10A,2007,5,29/10/2007,7
hl,AU10A,2008,1,3/04/2008,24
hl,AU10A,2008,2,15/06/2008,12
hl,AU10A,2008,3,28/10/2008,25
hl,AU10A,2009,1,19/06/2009,13
hl,AU10A,2009,2,16/06/2010,7
hl,AU10A,2010,1,17/06/2010,20
hl,AU10A,2010,2,13/10/2010,16
hl,AU10A,2010,3,14/10/2010,7
hl,AU10A,2012,1,18/01/2012,15
hl,AU10A,2012,2,9/08/2012,17
hl,AU10A,2012,3,10/08/2012,6
hl,AU10A,2012,4,11/08/2012,8
hl,AU10A,2013,1,11/03/2013,9
hl,AU10A,2013,2,10/03/2013,5
